dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.905474,4.777124,6.748636,0.337485,-1.845810,-0.192289,4.719304
0.020000,6.905511,4.771115,6.754644,0.300436,-1.852447,-0.331815,4.717774
0.020000,6.905535,4.765846,6.759913,0.263441,-1.849712,0.136759,4.716441
0.020000,6.905551,4.761320,6.764440,0.226343,-1.854906,-0.259707,4.715304
0.020000,6.905560,4.757536,6.768224,0.189184,-1.857986,-0.153993,4.714359
0.020000,6.905565,4.754496,6.771263,0.151987,-1.859813,-0.091357,4.713603
0.020000,6.905567,4.752200,6.773560,0.114812,-1.858765,0.052379,4.713034
0.020000,6.905568,4.750648,6.775112,0.077606,-1.860294,-0.076438,4.712650
0.020000,6.905568,4.749840,6.775920,0.040395,-1.860553,-0.012973,4.712450
0.020000,6.905568,4.749607,6.776153,0.011670,-1.436245,21.215413,4.712393
0.020000,6.905568,4.749591,6.776169,0.000784,-0.544289,44.597805,4.712389
0.020000,6.905568,4.749591,6.776169,0.000000,-0.039219,25.253476,4.712389
