dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.593675,6.121334,4.652527,1.829929,0.289033,0.920700,0.398406
0.020000,5.627598,6.135397,4.689249,1.836098,0.308454,0.971018,0.387517
0.020000,5.661798,6.149130,4.726103,1.842732,0.331704,1.162495,0.376097
0.020000,5.696289,6.162514,4.763100,1.849845,0.355625,1.196051,0.364108
0.020000,5.731086,6.175527,4.800251,1.857519,0.383689,1.403235,0.351507
0.020000,5.766203,6.188144,4.837566,1.865741,0.411133,1.372161,0.338246
0.020000,5.801656,6.200340,4.875058,1.874604,0.443136,1.600186,0.324276
0.020000,5.837463,6.212085,4.912741,1.884177,0.478621,1.774254,0.309540
0.020000,5.873640,6.223349,4.950632,1.894528,0.517585,1.948191,0.293978
0.020000,5.910208,6.234095,4.988745,1.905681,0.557628,2.002152,0.277521
0.020000,5.947185,6.244284,5.027100,1.917757,0.603825,2.309842,0.260098
0.020000,5.984592,6.253873,5.065717,1.930845,0.654365,2.526971,0.241629
0.020000,6.022451,6.262814,5.104617,1.945001,0.707832,2.673368,0.222026
0.020000,6.060782,6.271052,5.143824,1.960334,0.766629,2.939848,0.201196
0.020000,6.099608,6.278528,5.183363,1.976938,0.830185,3.177798,0.179037
0.020000,6.138949,6.285173,5.223262,1.994937,0.899994,3.490436,0.155438
0.020000,6.178826,6.290914,5.263550,2.014402,0.973213,3.660970,0.130283
0.020000,6.219255,6.295665,5.304257,2.035359,1.047851,3.731881,0.103449
0.020000,6.260250,6.299334,5.345416,2.057963,1.130196,4.117289,0.074807
0.020000,6.301820,6.301817,5.387060,2.082176,1.210691,4.024720,0.044226
0.020000,6.343964,6.302999,5.429220,2.108014,1.291876,4.059278,0.011576
0.020000,6.386672,6.302756,5.471929,2.135454,1.372007,4.006514,6.259917
0.020000,6.429919,6.300952,5.515214,2.164242,1.439397,3.369514,6.222768
0.020000,6.473662,6.297444,5.559097,2.194172,1.496481,2.854199,6.183222
0.020000,6.517835,6.292081,5.603594,2.224852,1.534007,1.876325,6.141221
0.020000,6.562343,6.284713,5.648708,2.255705,1.542662,0.432710,6.096749
0.020000,6.607062,6.275194,5.694429,2.286048,1.517144,-1.275897,6.049849
0.020000,6.651832,6.263390,5.740729,2.314967,1.445931,-3.560626,6.000632
0.020000,6.696456,6.249189,5.787558,2.341474,1.325370,-6.028064,5.949294
